État,0,1,2
0,0.8769230769230769,1.8866666666666665,-0.050000000000000044
1,-1.0,0.0,1.0
2,-1.0,0.0,1.0
3,-1.0,0.0,1.0
4,1.0,-1.0,0.0
5,1.0,-1.0,0.0
6,1.0,-1.0,0.0
7,0.0,1.0,-1.0
8,0.0,1.0,-1.0
9,0.0,1.0,-1.0
10,0.6878507181863375,0.6768639117305841,0.5213824445949059
