État,0,1,2
0,0.6999999999999997,0.7551282051282051,0.7732558139534885
1,0.7021739130434781,0.7551282051282051,0.6435483870967741
2,0.6249999999999999,0.5654761904761904,0.7916666666666666
3,0.3529411764705882,0.6799999999999999,0.6808510638297874
4,0.39999999999999997,0.6027397260273973,0.7499999999999998
5,0.392156862745098,0.5781249999999997,0.7301587301587302
6,0.21666666666666679,0.6964285714285713,0.6226415094339621
7,0.26923076923076933,0.5909090909090909,0.7735849056603772
8,0.34615384615384615,0.6739130434782609,0.7333333333333333
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
