État,0,1,2
0,0.4543478260869565,0.7464285714285713,0.5782608695652173
1,0.4191176470588235,0.6514285714285714,0.475
2,0.5241379310344828,0.6211538461538462,0.475
3,0.4444444444444444,0.3823529411764706,0.30232558139534865
4,0.3076923076923078,0.48936170212765956,0.3333333333333333
5,0.21875,0.368421052631579,0.5576923076923078
6,0.32352941176470595,0.2857142857142857,0.5466666666666666
7,0.25000000000000006,0.4444444444444445,0.5531914893617021
8,0.3571428571428571,0.35294117647058826,0.5000000000000001
9,0.18334226669351572,0.061513204088361806,0.6109434786673746
10,0.22706799370996866,0.017256330429108235,0.002964936935132778
11,0.20501795664673916,0.9152654571117408,0.7307331697554961
