État,0,1,2,3
0,0.5423704266387864,0.661474225375436,0.5680570837156131,0.5548479831072776
1,0.6424412150189125,0.6866717795833366,-0.0307033091774348,-0.3652372734254431
2,0.5075629391349394,0.3982822514779214,-0.41660959130252395,-0.6668559802963634
3,0.5688000922764596,-2.321342812499999,0.3009680784634437,0.043085434100516795
4,0.0,0.0,0.0,0.0
5,0.5940569113943169,0.6303658767303885,0.6342099308203468,0.7005619197398958
6,0.6183721006995676,0.7443813168147759,0.65505508805637,0.6666143137024112
7,0.20390682574579033,0.3678116137624102,0.6953277839629396,0.40869677198193954
8,0.0030392568040834567,0.8573749999999999,0.39158744198708795,-1.0830645884390826
9,-3.0,0.9025,0.15045663674461973,-1.4207609816535278
10,0.6302494097246091,0.7127320292862838,0.36760296806020726,0.6209155346024198
11,0.6610452404793576,0.7937087794171194,0.6852767132223968,0.6582868842118028
12,0.44525969341238125,0.5573894544179218,0.7459060447292616,0.5740062855698709
13,0.7880347968749999,0.8878770322265626,0.5910031752826387,0.6042171427051273
14,0.43271456742914827,0.9427265625000001,0.6302494097246091,0.9025
15,0.6468349205068357,0.6970296880311075,0.6677107727642718,0.7867619580768714
16,0.7205059300886217,0.7601623929999998,0.7180952102059498,0.8442723950341184
17,0.6740187118664073,0.8494475360917646,0.7655535056961598,0.8909953377953302
18,0.7906940752739386,0.9259050595238095,0.8373728660301919,0.9457724010416667
19,0.8812743770722057,1.0,0.8967122282608695,0.9435479166666666
20,0.2373205848569211,0.6634204312890623,0.7350918906249998,0.738262316609149
21,0.7920313077847284,0.7737809374999999,0.6485371176660641,0.00035249975523876653
22,0.00019047679864186984,0.5867310436763676,0.00037105237393553203,0.9327592592592593
23,0.9025,0.919125,0.9025,1.0
24,0.0,0.0,0.0,0.0
