État,0,1,2,3,4
0,0.40714285714285714,0.2111111111111111,0.2375,0.1727272727272727,0.31666666666666665
1,0.31666666666666665,0.2590909090909091,0.6333333333333334,0.7599999999999999,0.31666666666666665
2,0.475,0.38,0.475,0.1357142857142857,0.19
3,0.19,0.95,0.6333333333333333,0.2714285714285714,0.19
4,0.475,0.31666666666666665,0.5277777777777778,0.2111111111111111,0.31666666666666665
5,0.0,0.4,0.0,0.25,0.18749999999999997
6,0.0,0.2857142857142857,0.5,0.16666666666666669,0.12500000000000003
7,0.14285714285714288,0.23076923076923078,0.4,0.7647058823529411,0.12500000000000003
8,0.14285714285714288,0.30000000000000004,0.0,0.0,0.46153846153846156
9,0.7000000000000002,0.14285714285714288,0.0,0.16666666666666666,0.12500000000000003
10,0.18750000000000003,0.14285714285714285,0.0,0.0,0.30769230769230776
11,0.0,0.3333333333333333,0.15384615384615385,0.0,0.16666666666666669
12,0.3333333333333333,0.10000000000000002,0.3333333333333333,0.11111111111111113,0.625
13,0.6470588235294119,0.0,0.25,0.16666666666666669,0.0
14,0.0,0.16666666666666666,0.36363636363636365,0.3333333333333333,0.25000000000000006
15,0.0,0.10000000000000002,0.0,0.6000000000000001,0.0
16,0.2,0.28571428571428575,0.0,0.3,0.6666666666666667
17,0.0,0.36363636363636365,0.5714285714285714,0.4375000000000001,0.18181818181818182
18,0.0,0.14285714285714288,0.0,0.25000000000000006,0.0
19,0.26666666666666666,0.11111111111111113,0.125,0.16666666666666669,0.3
20,0.22222222222222227,0.28571428571428575,0.14285714285714288,0.12500000000000003,0.5833333333333334
21,0.6,0.16666666666666666,0.25000000000000006,0.4,0.10000000000000002
22,0.0909090909090909,0.1818181818181818,0.10000000000000002,0.2857142857142857,0.28571428571428575
23,0.0,0.16666666666666669,0.0,0.0,0.19999999999999998
24,0.30000000000000004,0.0,0.25,0.22222222222222227,0.3
25,0.42600746523258637,0.4642187717243249,0.798596301279117,0.452049063312579,0.28581366950791187
26,0.038474078728533034,0.87303894389792,0.24982994328731567,0.8590363796605621,0.09122016944941536
27,0.174652326618839,0.40982773367890946,0.14610126810160673,0.16892210009517195,0.7475218656317456
28,0.4910793377777035,0.8007428950055235,0.8137920858126994,0.32134655464772366,0.9464914518807598
29,0.45181990995272636,0.9431005659079408,0.9169926362233265,0.8044577201649112,0.7343906660126075
