État,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.6981242454817252,0.0,0.0,0.7345538872895826
2,0.0,0.7737809374999999,0.0,0.0
3,0.0,0.0,0.0,-3.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.698081650957901,0.7349124686355868
6,0.0,0.7735291376505044,0.0,0.7726491272549975
7,0.0,0.8129185185185184,0.0,0.8137116097560975
8,0.0,0.849787610619469,0.0,0.8507286821705425
9,-3.0,0.9025,0.8145062499999999,0.8573749999999999
10,0.0,0.7722725925925925,0.7343747278048779,0.0
11,0.7345538872895826,0.8145062499999999,0.0,0.8134470741222366
12,0.7707701167315174,0.8544083044982698,0.7730260292682926,0.8557037037037036
13,0.0,0.8978238341968912,0.8113369649805446,0.8896682464454976
14,0.8573749999999999,0.9463035019455254,0.8551480519480519,0.8987551867219917
15,0.0,0.8126017147310988,0.7707701167315174,0.8019753846153845
16,0.0,0.8507286821705426,0.770395410792416,0.8441846153846153
17,0.8134470741222365,0.8908997429305914,0.8123906493506493,0.8996884735202492
18,0.8547040498442366,0.95,0.8547040498442366,0.9461847389558234
19,0.8974011299435027,1.0,0.9025,0.95
20,0.7700210689990281,0.8081922480620154,0.7966135625596942,0.852253285543608
21,0.8019753846153845,0.8561588652482268,0.8129185185185184,0.8995409836065572
22,0.8441846153846153,0.887098976109215,0.8441846153846153,0.9454976303317537
23,0.8978238341968912,0.9452736318407959,0.8935643564356435,1.0
24,0.0,0.0,0.0,0.0
